epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,453.063,0.8057,1.22904,1.07822,1.00153,0.88505,0.92857,0.9691,0.75406,0.88505,0.92857,0.9691,0.78581,0.81048,1.17828,1.20135,1.13956,0.000709809,0.000709809,0.000709809
31,467.901,0.81565,1.17294,0.95124,1.013,0.89677,0.94981,0.98006,0.74642,0.89677,0.94981,0.98006,0.79066,0.81911,1.09746,1.10451,1.12986,0.000676802,0.000676802,0.000676802
32,483.042,0.86042,1.22641,1.10798,1.00518,0.97321,0.97922,0.995,0.74787,0.97321,0.97922,0.995,0.80026,0.89342,0.94634,1.06011,1.11341,0.000643795,0.000643795,0.000643795
33,497.623,0.76836,1.13691,0.9893,0.95968,0.96385,1,0.995,0.75531,0.96385,1,0.995,0.78403,0.85777,0.97046,1.06192,1.11405,0.000610789,0.000610789,0.000610789
34,512.375,0.8508,1.39051,1.09686,1.03325,0.96709,0.97945,0.995,0.762,0.96709,0.97945,0.995,0.79361,0.83,0.97394,1.12397,1.12759,0.000577782,0.000577782,0.000577782
35,526.945,0.82989,1.43174,1.03693,1.0101,0.96932,0.96497,0.995,0.75617,0.96932,0.96497,0.995,0.79971,0.82556,0.95248,1.12615,1.14127,0.000544776,0.000544776,0.000544776
36,541.563,0.76808,1.2639,1.05353,0.94208,0.95884,0.97728,0.995,0.75002,0.95884,0.97728,0.995,0.80742,0.87421,0.93691,1.08923,1.11907,0.000511769,0.000511769,0.000511769
37,556.167,0.80612,1.20403,0.93658,1.02441,0.9497,0.99143,0.99267,0.78845,0.9497,0.99143,0.99267,0.82389,0.86139,0.83848,1.03158,1.09243,0.000478762,0.000478762,0.000478762
38,571.238,0.74784,1.12635,0.98293,0.98993,0.95754,0.99332,0.99267,0.78045,0.95754,0.99332,0.99267,0.8287,0.84331,0.82853,0.98189,1.08378,0.000445756,0.000445756,0.000445756
39,586.05,0.81447,1.26607,0.97,1.00683,0.96307,0.99494,0.99267,0.7744,0.96307,0.99494,0.99267,0.82992,0.82712,0.83025,0.98884,1.09025,0.000412749,0.000412749,0.000412749
40,600.66,0.83313,1.42991,1.14488,1.04107,0.97524,0.95751,0.99267,0.75554,0.97524,0.95751,0.99267,0.84697,0.83173,0.8171,1.02499,1.12786,0.000379743,0.000379743,0.000379743
41,615.458,0.71423,1.02977,1.03004,0.96706,0.97333,0.92754,0.99267,0.74315,0.97333,0.92754,0.99267,0.82675,0.85678,0.86027,1.11461,1.15064,0.000346736,0.000346736,0.000346736
42,629.983,0.7407,1.00018,1.03515,0.97053,1,0.91967,0.99033,0.73794,1,0.91967,0.99033,0.81718,0.87041,0.8371,1.15639,1.15161,0.000313729,0.000313729,0.000313729
43,644.58,0.69861,0.90346,1.00614,0.94305,0.99473,0.94046,0.99267,0.74987,1,0.91958,0.98346,0.81064,0.87828,0.84259,1.15727,1.13964,0.000280723,0.000280723,0.000280723
44,659.082,0.69831,0.83129,1.02683,0.96247,0.9887,0.99171,0.995,0.75623,0.98383,0.96429,0.98579,0.79979,0.86634,0.8639,1.15986,1.11634,0.000247716,0.000247716,0.000247716
45,673.489,0.70256,0.92455,1.00331,0.96684,0.98868,0.98841,0.995,0.75904,0.97735,0.96429,0.98579,0.80962,0.81956,0.86524,1.12512,1.10213,0.00021471,0.00021471,0.00021471
46,687.963,0.70741,0.88394,1.04999,0.99791,0.98069,0.96429,0.99267,0.78006,0.98069,0.96429,0.98722,0.81157,0.76541,0.86039,1.06503,1.09001,0.000181703,0.000181703,0.000181703
47,702.704,0.71329,0.92656,0.99786,0.97204,0.97405,0.96429,0.99267,0.77695,0.97405,0.96429,0.99267,0.82009,0.74566,0.86143,1.03402,1.08915,0.000148696,0.000148696,0.000148696
48,717.205,0.64004,0.85388,0.94717,0.93518,0.96477,0.96429,0.99063,0.77945,0.96477,0.96429,0.99063,0.81526,0.72935,0.86458,0.99274,1.08126,0.00011569,0.00011569,0.00011569
49,731.688,0.62931,0.881,0.93128,0.95306,0.96405,0.96429,0.99063,0.78559,0.96405,0.96429,0.99063,0.82012,0.72799,0.86546,0.98285,1.07612,8.26832e-05,8.26832e-05,8.26832e-05
50,746.287,0.65798,0.85155,0.9372,0.97345,0.96498,0.96429,0.99063,0.7921,0.96498,0.96429,0.99063,0.82218,0.72328,0.86146,0.9691,1.07093,4.96766e-05,4.96766e-05,4.96766e-05
